Name,Geography,Year,Month,tot_evic,med_amount,mean_amount
Addison,City,,,2401,1470,1870.02182322999
Aledo,City,2020,7,1,,
Aledo,City,2021,11,1,,
Aledo,City,2022,6,1,,
Allen,City,2020,1,43,,
Allen,City,2020,2,45,,
Allen,City,2020,3,17,,
Allen,City,2020,4,1,,
Allen,City,2020,5,6,,
Allen,City,2020,6,7,,
Allen,City,2020,7,4,,
Allen,City,2020,8,8,,
Allen,City,2020,9,16,,
Allen,City,2020,10,4,,
Allen,City,2020,11,20,,
Allen,City,2020,12,8,,
Allen,City,2021,1,17,,
Allen,City,2021,2,8,,
Allen,City,2021,3,15,,
Allen,City,2021,4,8,,
Allen,City,2021,5,8,,
Allen,City,2021,6,17,,
Allen,City,2021,7,17,,
Allen,City,2021,8,17,,
Allen,City,2021,9,21,,
Allen,City,2021,10,33,,
Allen,City,2021,11,41,,
Allen,City,2021,12,17,,
Allen,City,2022,1,25,,
Allen,City,2022,2,43,,
Allen,City,2022,3,35,,
Allen,City,2022,4,20,,
Allen,City,2022,5,15,,
Allen,City,2022,6,23,,
Allen,City,2022,8,26,,
Allen,City,2022,10,17,,
Allen,City,2022,11,5,,
Allen,City,,,1,2070,2070
Anna,City,2020,1,10,,
Anna,City,2020,2,5,,
Anna,City,2020,3,8,,
Anna,City,2020,6,4,,
Anna,City,2020,7,4,,
Anna,City,2020,8,1,,
Anna,City,2020,9,2,,
Anna,City,2020,10,3,,
Anna,City,2020,11,2,,
Anna,City,2020,12,2,,
Anna,City,2021,1,2,,
Anna,City,2021,2,1,,
Anna,City,2021,3,1,,
Anna,City,2021,4,3,,
Anna,City,2021,5,5,,
Anna,City,2021,6,5,,
Anna,City,2021,7,5,,
Anna,City,2021,8,1,,
Anna,City,2021,9,3,,
Anna,City,2021,10,4,,
Anna,City,2021,12,6,,
Anna,City,2022,1,2,,
Anna,City,2022,2,1,,
Anna,City,2022,3,2,,
Anna,City,2022,4,1,,
Anna,City,2022,5,7,,
Anna,City,2022,6,3,,
Anna,City,2022,8,6,,
Anna,City,2022,10,2,,
Argyle,City,2019,3,1,,
Argyle,City,2019,6,2,,
Argyle,City,2019,11,1,,
Argyle,City,2020,1,2,,
Argyle,City,2020,2,2,,
Argyle,City,2020,3,1,,
Argyle,City,2020,4,1,,
Argyle,City,2020,6,1,,
Argyle,City,2020,11,1,,
Argyle,City,2021,9,1,,
Argyle,City,2022,1,1,,
Argyle,City,2022,9,1,,
Argyle,City,2022,11,2,,
Arlington,City,2020,1,775,,
Arlington,City,2020,2,745,,
Arlington,City,2020,3,330,,
Arlington,City,2020,4,16,,
Arlington,City,2020,5,61,,
Arlington,City,2020,6,113,,
Arlington,City,2020,7,116,,
Arlington,City,2020,8,291,,
Arlington,City,2020,9,280,,
Arlington,City,2020,10,257,,
Arlington,City,2020,11,293,,
Arlington,City,2020,12,305,,
Arlington,City,2021,1,370,,
Arlington,City,2021,2,172,,
Arlington,City,2021,3,297,,
Arlington,City,2021,4,265,,
Arlington,City,2021,5,260,,
